code,title,img,auth,pub
44146002,2017년 통일 대한민국,http://image.yes24.com/momo/TopCate0001/kepub/L_711930.jpg,지명혜 저,해피&북스(해피앤북스)
60569855,2018 제9회 젊은작가상 수상작품집,http://image.yes24.com/goods/60569855/800x0,"임성순,임현,박민정,박상영,정영수,김세희,최정나 저",문학동네
72265268,2019 제10회 젊은작가상 수상작품집,http://image.yes24.com/goods/72265268/800x0,"김희선,백수린,이주란,박상영,정영수,김봉곤,이미상 공저",문학동네
94383994,2020 김승옥문학상 수상작품집,http://image.yes24.com/goods/94383994/800x0,"김금희,은희경,권여선,정한아,최은미,기준영 공저 저",문학동네
90114147,2020 제11회 젊은작가상 수상작품집 (개정판),http://image.yes24.com/goods/90114147/800x0,"최은영,강화길,이현석,김초엽,장희원,장류진 저",문학동네
89838533,2020 한국근대문학선,http://image.yes24.com/goods/89838533/800x0,이효석 저,도디드
89903248,2020 한국근대문학선,http://image.yes24.com/goods/89903248/800x0,이효석 저,도디드
85430253,2020 한국근대문학선,http://image.yes24.com/goods/85430253/800x0,이효석 저,도디드
89741310,2020 한국근대문학선,http://image.yes24.com/goods/89741310/800x0,이효석 저,도디드
89741311,2020 한국근대문학선,http://image.yes24.com/goods/89741311/800x0,이효석 저,도디드
89741312,2020 한국근대문학선,http://image.yes24.com/goods/89741312/800x0,이효석 저,도디드
89760682,2020 한국근대문학선,http://image.yes24.com/goods/89760682/800x0,이효석 저,도디드
89760684,2020 한국근대문학선,http://image.yes24.com/goods/89760684/800x0,이효석 저,도디드
89760685,2020 한국근대문학선,http://image.yes24.com/goods/89760685/800x0,이효석 저,도디드
89760686,2020 한국근대문학선,http://image.yes24.com/goods/89760686/800x0,이효석 저,도디드
89760705,2020 한국근대문학선,http://image.yes24.com/goods/89760705/800x0,이효석 저,도디드
89838531,2020 한국근대문학선,http://image.yes24.com/goods/89838531/800x0,이효석 저,도디드
89903246,2020 한국근대문학선,http://image.yes24.com/goods/89903246/800x0,이효석 저,도디드
89903245,2020 한국근대문학선,http://image.yes24.com/goods/89903245/800x0,이효석 저,도디드
89903244,2020 한국근대문학선,http://image.yes24.com/goods/89903244/800x0,이효석 저,도디드
89838540,2020 한국근대문학선,http://image.yes24.com/goods/89838540/800x0,이효석 저,도디드
89838539,2020 한국근대문학선,http://image.yes24.com/goods/89838539/800x0,이효석 저,도디드
89838537,2020 한국근대문학선,http://image.yes24.com/goods/89838537/800x0,이효석 저,도디드
89838536,2020 한국근대문학선,http://image.yes24.com/goods/89838536/800x0,이효석 저,도디드
89838535,2020 한국근대문학선,http://image.yes24.com/goods/89838535/800x0,이효석 저,도디드
